timestamp,entity_id,old_state,new_state,device_class,friendly_name,restored,supported_features
2025-07-01T10:31:32.438431,binary_sensor.presenca_quarto_motion,unavailable,off,motion,Presença quarto antiga  Motion,,
2025-07-01T10:31:32.441091,binary_sensor.presenca_cozinha_motion,unavailable,on,motion,Presença cozinha  Motion,,
2025-07-01T10:31:32.443671,binary_sensor.presenca_sala_motion,unavailable,on,motion,Presença sala Motion,,
2025-07-01T10:31:32.446222,binary_sensor.presenca_banheiro_motion,unavailable,off,motion,Presença banheiro Motion,,
2025-07-01T10:33:16.040545,binary_sensor.presenca_sala_motion,on,off,motion,Presença sala Motion,,
2025-07-01T10:33:34.447681,binary_sensor.presenca_sala_motion,off,on,motion,Presença sala Motion,,
2025-07-01T10:33:50.925183,binary_sensor.presenca_quarto_motion,off,on,motion,Presença quarto antiga  Motion,,
2025-07-01T10:34:11.807716,binary_sensor.presenca_sala_motion,on,off,motion,Presença sala Motion,,
2025-07-01T10:34:16.009784,binary_sensor.presenca_cozinha_motion,on,off,motion,Presença cozinha  Motion,,
2025-07-01T10:34:16.339863,binary_sensor.presenca_banheiro_motion,off,on,motion,Presença banheiro Motion,,
2025-07-01T10:34:36.885532,binary_sensor.presenca_quarto_motion,on,off,motion,Presença quarto antiga  Motion,,
2025-07-01T10:35:11.299850,binary_sensor.presenca_sala_motion,off,on,motion,Presença sala Motion,,
2025-07-01T10:35:36.897359,binary_sensor.presenca_sala_motion,on,off,motion,Presença sala Motion,,
2025-07-01T10:36:22.265522,binary_sensor.presenca_sala_motion,off,on,motion,Presença sala Motion,,
2025-07-01T10:36:40.014710,binary_sensor.presenca_banheiro_motion,on,off,motion,Presença banheiro Motion,,
2025-07-01T10:37:19.244439,binary_sensor.presenca_quarto_motion,off,on,motion,Presença quarto antiga  Motion,,
2025-07-01T10:37:50.687388,binary_sensor.presenca_sala_motion,on,off,motion,Presença sala Motion,,
2025-07-01T10:37:55.407702,binary_sensor.presenca_quarto_motion,on,off,motion,Presença quarto antiga  Motion,,
2025-07-01T12:13:10.290795,binary_sensor.presenca_sala_motion,off,on,motion,Presença sala Motion,,
2025-07-01T12:14:47.110448,binary_sensor.presenca_banheiro_motion,off,on,motion,Presença banheiro Motion,,
2025-07-01T12:14:58.552941,binary_sensor.presenca_sala_motion,on,off,motion,Presença sala Motion,,
2025-07-01T12:21:59.373497,binary_sensor.presenca_quarto_motion,off,on,motion,Presença quarto antiga  Motion,,
2025-07-01T12:22:13.414852,binary_sensor.presenca_banheiro_motion,on,off,motion,Presença banheiro Motion,,
2025-07-01T12:38:44.681763,binary_sensor.presenca_sala_motion,off,on,motion,Presença sala Motion,,
2025-07-01T12:38:50.699345,binary_sensor.presenca_cozinha_motion,off,on,motion,Presença cozinha  Motion,,
2025-07-01T12:39:07.823638,binary_sensor.presenca_quarto_motion,on,off,motion,Presença quarto antiga  Motion,,
2025-07-01T12:39:13.199962,binary_sensor.presenca_sala_motion,on,off,motion,Presença sala Motion,,
2025-07-01T12:39:37.212488,binary_sensor.presenca_sala_motion,off,on,motion,Presença sala Motion,,
2025-07-01T12:40:21.205899,binary_sensor.presenca_sala_motion,on,off,motion,Presença sala Motion,,
2025-07-01T12:43:23.186853,binary_sensor.presenca_sala_motion,off,on,motion,Presença sala Motion,,
2025-07-01T12:43:44.956556,binary_sensor.presenca_quarto_motion,off,on,motion,Presença quarto antiga  Motion,,
2025-07-01T12:44:07.849825,binary_sensor.presenca_cozinha_motion,on,off,motion,Presença cozinha  Motion,,
2025-07-01T12:44:25.027526,binary_sensor.presenca_quarto_motion,on,off,motion,Presença quarto antiga  Motion,,
2025-07-01T12:44:45.675646,binary_sensor.presenca_cozinha_motion,off,on,motion,Presença cozinha  Motion,,
2025-07-01T12:45:11.621040,binary_sensor.presenca_sala_motion,on,off,motion,Presença sala Motion,,
2025-07-01T12:49:02.067118,binary_sensor.presenca_sala_motion,off,on,motion,Presença sala Motion,,
2025-07-01T12:49:43.479476,binary_sensor.presenca_cozinha_motion,on,off,motion,Presença cozinha  Motion,,
2025-07-01T12:50:54.804740,binary_sensor.presenca_quarto_motion,off,on,motion,Presença quarto antiga  Motion,,
2025-07-01T12:51:21.184242,binary_sensor.presenca_quarto_motion,on,off,motion,Presença quarto antiga  Motion,,
2025-07-01T13:14:51.349394,binary_sensor.presenca_cozinha_motion,off,on,motion,Presença cozinha  Motion,,
2025-07-01T13:15:43.385115,binary_sensor.presenca_cozinha_motion,on,off,motion,Presença cozinha  Motion,,
2025-07-01T13:46:06.989268,binary_sensor.presenca_sala_motion,on,off,motion,Presença sala Motion,,
2025-07-01T14:20:51.267335,binary_sensor.presenca_banheiro_motion,off,on,motion,Presença banheiro Motion,,
